name,address,rating,review_count,website,maps_url,status,lead_score
Downtown Car Care Center,"725 N Capitol Ave, Indianapolis, IN 46204, USA",4.8,389,http://downtowncarcarecenter.com/,https://maps.google.com/?cid=7812539945694862131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Tyler Automotive,"2801 E 62nd St, Indianapolis, IN 46220, USA",4.8,652,https://www.tylerautoindy.com/,https://maps.google.com/?cid=15549542320225570739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Malless Auto Service,"4525 W 71st St, Indianapolis, IN 46268, USA",4.8,858,https://mainstreetauto.com/location/malless-automotive/,https://maps.google.com/?cid=11926814801904904998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Professional Automotive Inc,"7013 E 86th St, Indianapolis, IN 46250, USA",4.8,624,http://professionalautomotiveinc.com/,https://maps.google.com/?cid=10010657609000054768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
A & Z Auto Repair & Tires,"1930 Lafayette Rd, Indianapolis, IN 46222, USA",4.8,240,,https://maps.google.com/?cid=14268228348886214495&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
"Jarboe's Heating, Cooling, Plumbing & Electrical","4111 Champions Trace Ln, Louisville, KY 40218, USA",4.8,5943,https://jarboes.com/?utm_campaign=gmb_msg-lou_home_everyone_main&utm_medium=gmb&utm_source=google,https://maps.google.com/?cid=13095468784178883814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Aire Serv of Louisville,"2540 Ridgemar Ct Ste 101, Louisville, KY 40299, USA",4.8,1095,https://www.aireserv.com/louisville/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,https://maps.google.com/?cid=7894425184019684465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Prudential Heating & Air Conditioning,"3302 Gilmore Industrial Blvd, Louisville, KY 40213, USA",4.8,767,http://www.prudentialhvac.com/,https://maps.google.com/?cid=1173787561068670877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
A+ Derr Heating & Cooling,"1225 Gardiner Ln, Louisville, KY 40213, USA",4.8,2335,https://aplusderr.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB-Louisville-Gardiner,https://maps.google.com/?cid=8005593211302992428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
"Tom Drexler Plumbing, Air & Electric","3718 Bardstown Rd, Louisville, KY 40218, USA",4.8,21126,https://tomdrexlerplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Louisville-KY,https://maps.google.com/?cid=5399725332230035537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
"Bryant Heating, Cooling, Plumbing, & Electric","4531 Bishop Ln, Louisville, KY 40218, USA",4.8,6404,http://www.callbryant.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Louisville-KY,https://maps.google.com/?cid=16349842807749267229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Absolute Services,"3600 Chamberlain Ln #720, Louisville, KY 40241, USA",4.8,4831,https://absoluteservices.net/areas-served/louisville/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*312*absolute-services-louisville,https://maps.google.com/?cid=13781496859035655225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Dauenhauer Plumbing Heating Air & Electric,"3416 Robards Ct, Louisville, KY 40218, USA",4.8,9147,https://dauenhauerplumbing.com/service-areas/louisville/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,https://maps.google.com/?cid=13260817927463520182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
